,text,label
1911,    bitch what where you all be at come to town east mall u and your bitch fuck boys,__label__offensive
336,this hot ass black girl from twitter goes to wohs lol that is cray i thought she was some alias ass bitch from miles away,__label__offensive
1134,  httptcoprrskknqrv love frat boy w soft long soles,__label__non_offensive
3050,    pineapples on sale at publix  on sale too  stairs,__label__offensive
3413,  honestly the performers on there red carpet were trash hahahaahahahaha,__label__non_offensive
2478,oh i forgot we lived in the ghetto ,__label__non_offensive
3904,    humans are genetically closer to chimps than chimps are to gorillas but we are all apes have a great day you clever twe ,__label__non_offensive
1958,it is lame that you can buy clothes that look like real military clothingif you wear it i will make fun of youyou are a 4 star bitch,__label__offensive
1821,they updated wukongs new splash so it does not look so fucking retarded,__label__offensive
2318,these hoes here mane you are what you let inside you remember,__label__offensive
935,she said she do not like the fact that i smoke cigarettes well sorry mrsladybitch i do not like the fact that you are a hoe,__label__offensive
1323,          yeah i do not think that is okayfuckin drop it you should not even joke abo ,__label__offensive
2934,    bad bitches httptcojz9itvjck0,__label__offensive
2702,i be try a log on to ig an like pics but bitches dont be posting no pics,__label__offensive
1088,  when the nigga with the aux cord playin some trash shit httptcolmp5beplvy   ,__label__offensive
1648,never keep leeches in your life if bitches take more than they give it is time to cut them off,__label__offensive
1871,      what yall up to    beatin my meat on facetime wit a bad bitch httptcodwdg7dnwxw,__label__offensive
3840,  grand opening    top class   oriental massage   perfect   httptcodmxplroaj2,__label__non_offensive
2394,    vonte not tweeting like a bitch finally,__label__offensive
2217,all hoe money is gooooooooooood,__label__offensive
451,      when a ghetto girl tries to read in class pt1 httpstcouw7abqbtoc  lmaooo,__label__non_offensive
4506,  i will ask you same question do you support border jumpers do you support illegals,__label__non_offensive
1302,somebody take these oreos away from me before i eat the whole pack,__label__non_offensive
665,reading the ut sexual assault case takes me back 2 collegei will never forget d walk would say dont run trains on them hoesstraight trouble,__label__offensive
889,stafford you pussy,__label__offensive
1857,  good one fag boy,__label__offensive
19,i been fucked that hoe she a nobody,__label__offensive
2923,  shut up bitch,__label__offensive
2614,me mom honestly thank you for making me a bad bitch mom you have gotta stop,__label__offensive
2034,if a bitch do not taste her own   you should not even dare eat it  ,__label__offensive
2344,    flirting with bitches on twitter like httptcoev2quysbpo,__label__offensive
2313,    if you are not a little bitch httptco92flicl627,__label__offensive
4288,one of the biggest arrests of a     was   so why a   gotta act like a   to the  ,__label__offensive
4384,tonight starts the road the super bowl for the   here we go brownies here we go woof woof  ,__label__non_offensive
4663,    i am your bitch down for whatever,__label__offensive
1240,still cannot see what niggers see in them white hoes,__label__offensive
4077,  why she a hoe we know about 5 dudes that hit kim 5 these hoes out here doing that in a week,__label__offensive
4520,      wassup  you outta order,__label__offensive
1067,you said you be smoking strong but your wrong you been smoking trash and it aint in my lungs if it aint that pressure,__label__non_offensive
3829,  thanks little fag  ,__label__offensive
2871,fags god damn,__label__offensive
673,    yo motherdedication hoe  rich homie tono feat childish miguelito amp young pattycoming soon  ,__label__offensive
2789,  bitch y u aint come to school,__label__offensive
1427,  i know all the bitches love me ,__label__offensive
4067,all you pussies is losers all my niggas is winnin,__label__offensive
3811,these pussy ass niggas aint bout that life,__label__offensive
3096,follow my nigga cgbugatti niggaz hated nd flagged his possibly fucked ya bitch that is why you all  httptcofrf23wllbv,__label__offensive
3015,    had all the bitches on myspace going nuts,__label__offensive
3414,  nice hoodie faggot,__label__offensive
3657,watch the blacks and whiggers cryhttptcoemluwbbogw,__label__offensive
2256,    lol rahshauna has hoes,__label__offensive
4524,          there is only like one retarded fucking beaner that does and he is a stupid ass ex ,__label__offensive
826,  do not care got my   everywhere i am a   i am a   i am totally full of  httptcoqia88qgmwh,__label__offensive
3797,darf retarded lol,__label__offensive
977,      thought you were sleeping bitch  ,__label__offensive
4370,      cant the yankees make some last weeks moves,__label__non_offensive
288,i was flying down the slope and just rammed into this small asian boy kid got up like a champ and walked it off,__label__non_offensive
1410,      when a dyke get pregnant by mistake gtgtgtgtgt,__label__offensive
4282,a white lighter is bad luck not yellow ur stupid,__label__non_offensive
486,put ya hands up if you a grade a bitch,__label__offensive
947,rows for the hoescurls for the girlsplanks for the skanks deep cuts for the slutsquads for the broadsno pecs no sex,__label__offensive
423,mane wtf i wake up look at da window it is showin like a mf outsidegood thing a nicca went to walmart yesterday good aone snacks,__label__offensive
4264,      bitches is so corny  sooooooo corny ,__label__offensive
591,my bitches not average spend money i got it ya girl want me she gon get fucked aint no askin,__label__offensive
646,do not bring dat police ass nicca round me,__label__offensive
3919,wait a minute bowyer causing a yellow in a chase race     caution 15  ,__label__non_offensive
611,    do not take advantage of a nice person  hoes everyjuan,__label__offensive
3647,  yea that always looks niceall the monkey faced women a see around santa monica looks better than natural beauty  ,__label__offensive
1234,    some birds are not meant to be caged,__label__non_offensive
3659,like damn hoe i gave you a chance when you was average why you aint beauty make over when we was together,__label__offensive
4202,knockin a dent in dis big bitch fwm everywhere   httptcocwhqm47v6t,__label__offensive
3901,  their tortillas are trash though,__label__non_offensive
1730,    amp it is sad cause niggas will have a good girl amp do her wrong it is hard finding a good bitch out here forreal,__label__offensive
3033,  says the pedophile promoting dolt lmao  ,__label__offensive
1183,well they do now haha     i just think these bitches are confused like i am wife   lol  ,__label__offensive
2598,    bae will always be bae  even when bae is not bae that is still bae  therefore  you hoes can move around please  ,__label__offensive
304,      to that niggah   go follow,__label__offensive
3465,yep     nope and never will     fellas u ever had some pussy so good you send a so what are we text,__label__offensive
921,what you gonna do if she cheat  cry  fight for her  no kick that bitch out and go straight to tootsies,__label__offensive
1999,this 103 weather is a bitch,__label__offensive
4579,i was gunna eat the pussy but i am on a diet ,__label__offensive
3736,    you know all these bitches who posted pics for zeeti are in the shower like jim carey in ace ventura after he found out ei ,__label__offensive
1146,god bless the dumb niggas who trust these hoes,__label__offensive
3952,yah has said in his word that the mtzraymegyptians are his people and ysrahal is his inheritance and the kushiteethiopians,__label__non_offensive
2276,sub tweeting and uoeno lol bitch,__label__offensive
2055,  i was born yellow,__label__non_offensive
4279,i l8v3 fuckin wit this nigga he getting all emotional he remind me of my bitch is that you blake 50  httptcovjcf0r6thu,__label__offensive
3254,  small man syndrome usually deep down they are huge pussies so they join the authority to compensate their weak ego,__label__offensive
1698,fuccn yo bitch last night she say you the nigga,__label__offensive
4019,isis jihadis in australia shoot man in the face chanting   will stay  httptcoxyzxv5lzs1    ,__label__non_offensive
3315,fucking twat     xavi checking the grass haha httptcohrheyyoirp,__label__offensive
1539,oh it was multiple dna on ol girl man they ran a train on that hoe  ,__label__offensive
3487,    bitch think she know everything ha,__label__offensive
3074,two hoes     you all know what we are   httptco0xljzwbtkr,__label__offensive
596,    kim k got bitches thinkin being a hoe is a career with health care benefits,__label__offensive
1121,these hoes aint yours,__label__offensive
3547,glenladen got life flight to osu and they are saving him do not mess with the birds  ,__label__non_offensive
2659,i think you are in a bad mood from munching on hairy pussy,__label__offensive
4540,you just a twitter hoe,__label__offensive
3874,breezy gotta sleep this hoe,__label__offensive
4103,lmao     i am 25 years old i am tryna have some fun  i am a hoe,__label__offensive
546,u know that pussy good when it sound like u mixing spaghetti when u hit it lol,__label__offensive
4147,i am a broke hoes dream rich girls cream ,__label__offensive
3393,    you always ugly to a bitch that do not like you ,__label__offensive
2634,bbl gonna go sob over gay bird babies,__label__offensive
400,that pussy came gift wrapped,__label__offensive
3866,  what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,__label__offensive
296,i was enjoying nicki minajs song anaconda until she said fuck skinny bitches lol nah bitch fuck you,__label__offensive
2971,but i am calling this bitch yeah ok after you called me i return calls especially if it aint my girl  httptco6ssxopuhge,__label__offensive
3404,  you cannot get rid of me that easily bitch,__label__offensive
574,      i am tryna smoke some dope in that bitch lol,__label__offensive
2647,hoes aint wana fuck a nigga back then you but all the bitches wana fuck a nigga now,__label__offensive
890,got cramps bitches    ,__label__offensive
834,i will literally never get home this shit is retarded,__label__offensive
4459,  lol nigga just walk in that hoe looking for girls do not even wanna buy nothing,__label__offensive
3531,another season of retweeting every one of   s yankee tweets  ,__label__non_offensive
551,    hoes these days be like   httptcoavlwkkd8rw,__label__offensive
126,  brah wiz cheated   httptcooz2pndngj0  she had hair like a dyke uh duh,__label__non_offensive
1622,  this was hung in the boys bathroom  st dominic httptcooeralv45gi    silly bitches,__label__offensive
1909,  omg bitch go to sleep it was just a coincidence huh   ,__label__offensive
3889,goku shutting down hoes since 1984 httpstcoretjvhgj1h,__label__offensive
4584,i want to be as independent as soon as i can i do not like depending on people makes me feel like a bitch,__label__offensive
3300,creeping with my side bitch hope i do not get caught cheating,__label__offensive
1229,      screaming like a little bitch lmaooo,__label__offensive
2980,u sure tha bitch aint slumped over dead  lol   the thots is out here   httptcolb9i8rhtmv ,__label__offensive
1957,thirsty ass bitch do not sweat me,__label__offensive
3270,    bruh you are not a friend you fuck with me when you and ya bitch into it  ,__label__offensive
3622, you all hoes get turned on for no reason   be like  owieee he got tats  he bang  wifi with no password   my httptcovxads6boha,__label__offensive
874,  fml   my period on   cannot pop that pussy now huh,__label__offensive
1077,    for all you bitches that think you are a bad bitch please tell that to rhonda rousey,__label__offensive
1554,  so says the one who fills an empty hole inside herself by worshiping a royal who 4 all u kno may be a raging snotty bitch,__label__offensive
740,    i was disgusted betrayed hurt amp my pussy drier than a niggas skin in the winter time,__label__offensive
723,bad bitches aint cheap,__label__offensive
586,my dick your bitch on it,__label__offensive
1854,    come on stay alive knights nation this is still the early bird special  ,__label__non_offensive
3210,sounded like a bitch but whatever,__label__offensive
2534,    i know if my bf breaks up w me i will become the biggest hoe of all time ampprobably fuck anyone who looks my way bc id be s ,__label__offensive
4670,    if you really wanna please your man seeing him pleased gon turn you on but you know bitches aint really what they clai ,__label__offensive
4533,    i was laughing at a joke about 911 big different bitch,__label__offensive
622, her pussy lips like heaven doors   ,__label__offensive
3268,    no the fuck it does not it is a fucking song wtf r u talking about yes the fuck i can bitch,__label__offensive
228,  finger my throbbing pussy flaps,__label__offensive
1743,i am not much of a texted get off my nuttz hoe,__label__offensive
262,    andrew bynum got traded and then they waived him the very next day a nigger cannot keep a job,__label__offensive
3672,i had 14 fags in the space ae 3 hours excuse me    ,__label__offensive
2698,  i am always amazed at your resilience to keep on going into the night shift is it really better than the to ghetto,__label__offensive
2459,bitch i will cut you,__label__offensive
1253,apparently not wanting to trade your nitro m4 in csgo makes you a collossal faggot,__label__offensive
4441,    this is how you eat pussyrepeat after me httpstco8e0aqmial8,__label__offensive
2920,    if you open a cold beer and it becomes warm before you finish it you are a bitch,__label__offensive
2879,    video renegade cut snowpiercer   an analysis of bong joonho  scifi action film topics include httptcoynt9zs0 ,__label__non_offensive
1487,omfg     your feet bitch     whisper something dirty in my ear   httptcoxriykfgg3q,__label__offensive
3727,longway bitch,__label__offensive
3007,      autocorrectits a bitch,__label__offensive
1694,        these hoes selfish,__label__offensive
4475,who would have thought my redneck husband would claim the hipster glasses httptcovv6mzpq4ju,__label__non_offensive
4398,    you will not have to herd for hoes no more lol  lmao i hope not this shit schressful,__label__offensive
1320,only bitches talk shit,__label__offensive
4426,      so is your pussy lmao,__label__offensive
2544,i am gonna hoe the shit out of you when we meet again cannot wait,__label__offensive
3792,  lmaooo roosters is hot trash bro u know it,__label__offensive
1432,    i wonder if mfers gon be mad i took they bitch  ,__label__offensive
2462,    girls wanna hoe around and turn up but gone regret the shit afterwards,__label__offensive
552,pnd is my jigga man,__label__non_offensive
4470,these brownies are bomb httptcolkzlqqj7w1,__label__non_offensive
4409,  might need you to pummel a bitch  ,__label__offensive
2929,          bitch  that is so cute to me   a date,__label__offensive
3755,me when folks try to come for me   ok hoe cool httptcoqdufivvwha,__label__offensive
1046,  i starting laughing worked outnot bc i think its funny that you workthrows phone in trash over butchered subtweet,__label__non_offensive
798,ask a bitch in 2014 if she would rather have jesus than silver amp gold i bet u she tell a lie,__label__offensive
1695, i fw these niggahs everyday  neva changed up  always been the same to a niggah  been thru shit with ma niggahs ,__label__offensive
2628,  you tink u done made a funny nigga come   i got nightclubs trannies crackheads dealers come at megt,__label__offensive
1564,    when you start liking a hoe you do not really like because she gives you the pussy on a consistent basis,__label__offensive
1775,  merry christmas hun   ,__label__non_offensive
2530,  what niggah,__label__offensive
2277,marijuana hydro pussy hoe ass titties,__label__offensive
4032,    social network got bitches heads like   httptcobhmuo4x4vu,__label__offensive
2115,    a bird just flew into my hotel room i would rather get gangbanged by 10 mandingos for 2 days straight than experience that again ,__label__offensive
2695,    21 hoes,__label__non_offensive
763,knock em down wit sum chunky  ,__label__non_offensive
3333,i thought she was albino tho  ,__label__non_offensive
1340,    i kno u wanna roll w a bitch like me,__label__offensive
637,these side bitches winning son ,__label__offensive
3979,    sowhite people selling   art not cool okay      ,__label__non_offensive
3389,he is like 30 something year old talking back to my mom amp taking my uncles truck without permission like bitch you need to fucken relax ,__label__offensive
862,so to my ace boon   one of the few of the real girls on campus  ,__label__offensive
233,    mannn let bosh hoe ass hit that 3,__label__offensive
1489,    how bitches look wen they hear their song in da club httptcof2oycfk90s,__label__offensive
3196,    these hoes smh httptcoprr9jkrbsp,__label__offensive
4648,  no bitch linda over kod,__label__offensive
2778,    we gotta be pretty with a perfect body smart funny  not too tall know how to cook be good at sex but not a hoe h ,__label__offensive
299,    if i did smoke i would not be smokin hoes out less they gettin fucked on,__label__offensive
764,i hate when people tweef and then delete the tweets like yalls some hoes for that  i am trying to read them,__label__offensive
4433,    i want to take the time tonight to acknowledge all of the ex hoes,__label__offensive
2720,fuck your dreads fire it up hoe rt while we watch this is the end,__label__offensive
3946,    pussy,__label__offensive
3232,    it is never about the hoes he is entertaining  it is always about the fact that he is entertaining these hoes ,__label__offensive
897,officials jihadi cockroaches now booking tickets on cruise ships to syria httptcohwkfme75kx httptcorltlvygptl,__label__non_offensive
1112,    my anaconda do not want none unless you defeat the huns son httptcouztkgawtfm,__label__non_offensive
840,  where does that fucking muzzie edict come from feds or prov govts,__label__offensive
2878,bahaha omg   this bitch is crazyyy  httptcohfktledkpa,__label__offensive
3076,  now fuck that stfu shit how a bout u stop being a little bitch and get it round cuz u avoiding question u fucking scarry,__label__offensive
1851,all my young boys round me saying get money and fuck these hoes,__label__offensive
373,it is the dykes hunter dyke with a dyke httptcolgtw3awmeh,__label__offensive
1982,    fellas remember to stock up on thermals and timbs before the dykes buy them all,__label__offensive
3886,trust me   we give   it is duegt a huge flightless bird dream come true for european bird eaters,__label__non_offensive
1206,niggas cry when they get hit high and cry when they get hit low nfl full of pussies now,__label__offensive
3131,    time for the comeback pussies  ,__label__offensive
1500,when was a hoe ever supposed to be loyal i mean it wouldnt make em a hoe they would be another housewife,__label__offensive
2492,    reports say female victim was shot while waiting for an oreo mcflurry,__label__non_offensive
1913,i am only on here cause my bitch tripping  ,__label__offensive
1260,boy these downlow niccas should be ashamed,__label__offensive
1271,even nature looks awesome when colored in  httptco8b0ftjgost,__label__non_offensive
1311,    party of racists just elected a black dude in the south the party of war on women just elected first ever woman in redneck ,__label__offensive
4605,fuck all u stupid hoes  ,__label__offensive
457,my baby boy asleep with my monkey that i had since i was little i love my son so much httptcoiosarfs3ro,__label__non_offensive
2847,i do not like bat man though i fucked his bitch twice,__label__offensive
2324,    these hoes aint loyal httptcojik7ofqmbe,__label__offensive
1235,    hank baskett cheated with a tranny and just got a shoutout,__label__offensive
398, lol nah hoes we dealt with it so will you all   httptcorxtjwwkfhj,__label__offensive
1717,this bitch just texted me out the blue bout want see her butt,__label__offensive
3746,this bitch wanna smoke all of my weed,__label__offensive
2102,every nigga trynna fuc the next nigga bitch not knowing his bitch is the next nigga bitch,__label__offensive
3104,  i want it i love her gooks she is awesome where did you get it,__label__non_offensive
3044,    you all bitches got to learn the difference between like and love,__label__offensive
2955,aint fuckin wit nomore hoes got who i want  ,__label__offensive
919,these niccas sangin on dey partnas witout a grammy award,__label__offensive
3283,i will not do nothin with the bitch she cannot even get me hard,__label__offensive
952,    i mean sometimes eating a carton of double stuf oreos is your only option,__label__non_offensive
4589,one thing i hate more than lightskin niggas is a confused bitch like either you go fwm or you gon fw these niggas  ,__label__offensive
750,the big lips was in the ad bitch,__label__offensive
2864,    she my lowkey bitch the one i ride lowkey with,__label__offensive
3263,bunch of hurt niggas amp bitches on my ig timeline tonight muhfuckas lame as hell b,__label__offensive
4521,so bitch shoot me a look it better be a blank stare or get shanked in the pancreas,__label__offensive
4141,on the anniversary of 911   amp al qaeda supporters each claim ben laden as their own as a show of their jihadi authenticity  ,__label__non_offensive
3944,1         no i am not crossed eyed i am albino cannot control that,__label__non_offensive
2155,    stegosaurus hissed like a snake pterodactyl sounded like a crowtrex like a cross between a parrot and an elephant,__label__non_offensive
2193,    this white boy reached 999 in flappy bird im so done with life,__label__offensive
4452,never again will i put so much into a relationship unless the bitch actually puts more effort into it than me,__label__offensive
3287,this bitch lol,__label__offensive
246,    same bitches that diss me gone still be here to eat my dick when they see that check,__label__offensive
3286,  word bird,__label__non_offensive
4293,so i already do not fuck with dude but i be nice and i am humoring him but this bitch crossed a linefirst of motherfucking all,__label__offensive
3188,all the redskins act like   te bitch   the bitch,__label__offensive
2466,your girl pussy like a walk in clinic the cure for every sick nigga,__label__offensive
2819,on a scale of 1 to redneck i am watching days of thunder right now  ,__label__offensive
4300,  just be like me make bitches move,__label__offensive
3987,    that is fucking bitches for ya using that pus to hook u,__label__offensive
4652,aye the part be treating the bitches too good  ,__label__offensive
2216,u sent nudes when ina relationship or nah   her pussy bleeding or nah    httptcow9zpjfk93r,__label__offensive
583,    yanks have a cocktail called an irish car bomb but if you stuck two flakes in an ice cream cone and called it a 911  ,__label__non_offensive
2094,  little bitch your ass is getting tased when i get home,__label__offensive
2677,    if you buy tickets for transformers 3d they just lock you in an aluminum trash can and toss you from an overpass into rus ,__label__non_offensive
2780,  bitch me too,__label__offensive
16,        shit nigga do not complain now you got room for hella nudes from hoes  trueeee i will hy ,__label__offensive
2538,    hey antony you speaks colored good,__label__non_offensive
3277,fuck around and get your honeybun took in that bitch with all that crying nigga,__label__offensive
3269,these hoes needa stop tryna split relationships and get they are own damn man,__label__offensive
1846,    no bitch lol,__label__offensive
3574,i might need to get some hoes,__label__offensive
402,  if you say one disparaging word about the charlie brown xmas special i will slash the tires on your car,__label__offensive
3571,real nigga shit she wanna be a righteous young rich nigga bitch,__label__offensive
2964,    joe changed her life and went back to his old bitch      ha she got them bitches worked o ,__label__offensive
2918,    hannah is retarded do not listen to her,__label__offensive
2842,  you knw where i am pussy i hate when u ask me tht,__label__offensive
1904,one of the best     of all time is     anybody seen that   lately i believe he is dressed as   ,__label__offensive
106,    this bitch is fucking insane   2 what is a sentence that describes you in 5 words ,__label__offensive
1817,    u can kill carl but not my nigga glenn whos gonna take care of my hoe maggie,__label__offensive
3836,hahahhahaa     your boyfriend trash ma stop tryna convince yourself otherwise in these tweets,__label__offensive
3679,  amp you got cancer hoe,__label__offensive
52,      when the trash bag is so full  you can barely tie it  httptcootzfiqmwi0  sttooopp ,__label__non_offensive
2141,that bitch better be happy about that 20 tip,__label__offensive
361,  hey fuk them hoes they prolly already have it,__label__offensive
2000,  these newly gay bitches do not kno how shit works,__label__offensive
1540,she bet not put me on her gram i got bitches on the gram,__label__offensive
768,these hoes worried bout the wrong things in life,__label__offensive
245,every lady aint no hoe but every lady sure aint no queen,__label__offensive
401,    if i see a bitch coming at me like this  that mean i got 12 seconds to get up and get right   hoethea sat there http ,__label__offensive
3691,    omg seriously do bitches still love sosa,__label__offensive
2209,      that ouija movie look like trash  its really good,__label__non_offensive
2377,  all bitches eh hahah,__label__offensive
1668,    woke up and bitches was not here lol  was not angry wit my hoes ,__label__offensive
188,forte just trucked dude hoe ass lol,__label__offensive
1124,dat mean u ugly hoe if only getting fuck doggie style     hot nigga httptcovsoqnuoh5v,__label__offensive
2612,a bitch can have two black eyes bloody lip scalp bleeding bruises and a broken arm and still be like but i love him lmao,__label__offensive
679,        her face so damn flawless i know her pussy taste like peaches and all my life goals  lmfaooooooo,__label__offensive
2772,forget resting bitch face the next hot new trend will be resting drunk face,__label__offensive
1457,  i do not take people niggas bitches do not play about they niggas  specially they baby daddies   bs,__label__offensive
3343,  lmaoooo i am calling her a hoe and i am mad shutcho uglass up,__label__offensive
2686,did not know alberta had brampton bitches  ,__label__offensive
2341,  ima just block you hoes out  block em either one lol,__label__offensive
2719,and niccas are 38 hot if they paid 20 bucks for that payperview,__label__offensive
4608,got damn man hung tf over like a bitch,__label__offensive
342,  go text your other hoesme httptcowc5tr4uhs6   ,__label__offensive
138,    some of you fellas should dress up as real men for halloween because you have been actin like bitches all year long merica,__label__offensive
1855,she said pop can u make it rain i said bitch i am a water bearer i bring da flood i will make you drown,__label__offensive
997,summer hoes turning into winter wifeys  ,__label__offensive
2088,pops interviews remain warm and fuzzy,__label__non_offensive
3947,  lesson 12 do not pass out at before 12 like a lil bitch,__label__offensive
3034,where a prego bitch when i need one i have no milk an a whole box of cinnamon toast crunch man,__label__offensive
3608,    oh i would have stood up fall back hoe,__label__offensive
3850,  i think its about   trying to be the most   what we in socal call wiggers    ,__label__non_offensive
1156,i cannot sleep so ima watch spongebob and eat crackers and peanut butter,__label__non_offensive
4078,    and i am that bitch who does not forget,__label__offensive
3296,cheater cheater pumpkin eater where did you find that no good white trash hoe    ,__label__offensive
4120,if dirty d was still around i wonder how many of you younger guys he would call a disrespectful son of a bitch,__label__offensive
2025,i have seen   with charlie sheenand the   committed sin when they worshipped   as a batting coachgt,__label__non_offensive
3176,  bitch i juss askd yu uh question yo ole choppa bullet head ahh,__label__offensive
995,experience charlie married woman who loves hot phone sex with strangers can you get me off  27 httptcojtsijbulvc,__label__non_offensive
330,    real tears           both these outfits trash but the dyke outfit got me weakkkkkkkk http ,__label__offensive
1948,      frfr come party wimmie i am leavin this shithole til summfest  i am leavin dis hoe before that,__label__offensive
4439,    i do not care how much i hate a girl i will never call her a hoe bitch slut or any of that shit lol,__label__offensive
1795,running the game for 5 years guess that is why my feet hurt  wonder when they bite me do these bitches teeth hurt  ,__label__offensive
1639,i will round up my hoes in a little bit,__label__offensive
1270,how many fingers does a bitch gotta break so mother fuckers will stop taking my god damn lighters,__label__offensive
2489,ayo twat boy i gotta new phone give me yo jack now  ,__label__offensive
241,this pussy dryer than yours     drier vs dryer ,__label__offensive
1275,this why i need bitches,__label__offensive
4064,  this account is so incredibly retarded,__label__offensive
2142,    my dad is a hoe fuck him  ,__label__offensive
3696,  i am always there bitch,__label__offensive
2154,    word and it do not make u a hoe     it is okay to have sex on first date long as the feeling is mutual,__label__non_offensive
2474,      bitch what huh nigga am not gonna do damn thing sir this my page oh what u forgot,__label__offensive
3557,    i play soccer cheat on girls and wear khaki coloured cargos haircut httptcotycihd6pkw  yes lmfao ,__label__non_offensive
185,type of nicca owe yu money but still ask you to go n on a blunt,__label__offensive
3247,i been getting money i aint worried about a hoe  ,__label__offensive
2781,      omg lil b followed me yassss bitch he follow everybody shut yo ass up,__label__offensive
1371,  you all females love you all a bum nigga or a jail bird ,__label__offensive
1504,      to chrisbrown for beating up another bitch,__label__offensive
2728,yous a bitch ass nigga   rt i push the tape bac till around labor day weekend turn up ,__label__offensive
789,    warm that pussy up,__label__offensive
82,well i want to be victorias secret dyke angel ,__label__offensive
1567,  im talking about the pucture of the pussy cat you nit twit,__label__offensive
775,  an end to the ordination of women and faggots whose only aim is to weaken and split our communion,__label__offensive
2738,    these bitches love wyandanch niggas i tell you  i always see yall ot bitches out here wit them  but keep frontin for t ,__label__offensive
1623,i hate a wishy washy bitch,__label__offensive
2621,                  i bet she is a new york yankee prog ,__label__non_offensive
490,yet this nigga still checkin up on his old hoes,__label__offensive
1073,      amp i are discussing our awful 90s fashion choices yellow overall shorts boxers over leggings what was your bes ,__label__non_offensive
3351,  yeahgt now you know how it feels knowing the   is on all our phones quit whining like    ,__label__offensive
3281,maybe i am just some bitter ass nigguh like obito,__label__offensive
585,i need to jump in the shop on fritag for 72 beers hate looking like 20 odd i need to get 120 fags tae going to look like a junkie,__label__offensive
2662,  i do not know i am hoeless so i do not know where they congregate,__label__offensive
4041,      exes swear they can do better then you see their next bitch   ,__label__offensive
381,  dont even trip my niggah i got you lol,__label__offensive
3399,    you lil stupid ass bitch i aint fuckin wit you,__label__offensive
4176,can never follow bitches who is bios look like this httptcothk9mnqtrg,__label__offensive
887,ya bitch got my dirty pistol in her crib uoeno it,__label__offensive
2001,  retarded pussy games  ,__label__offensive
4614,  lol mane shut dat bitch shit up youn fucc wit me,__label__offensive
3377,chris a faggot,__label__offensive
3768,  finished the essay and the quiz bitch,__label__offensive
1392,do not let your side bitch settle in i might have to headbutt you evelyn,__label__offensive
3718,alex smith such a got damn bitch man,__label__offensive
1617,    chi aint no bitch then you got them assyrian kings on california and peterson  ,__label__offensive
2999,  i heard green tea makes you lose weight and imma coon so that explains the watermelon,__label__non_offensive
2181,give me head an kiss yah nigga u a ill bitch,__label__offensive
1418,    if i do not get my dick sucked at yo party by a bad bitch i am fr gone set it off   by   ,__label__offensive
2758,cnt nobody be mad at who he choose to be with i cannot be mad at no bitch its the nigga so hay,__label__offensive
1237,  is that i am a twat or i am twat like formally,__label__offensive
4619,only in my hick town can you walk into a national sports bar and get busch light in a can smh,__label__non_offensive
1729,  already kno nicca,__label__offensive
4538,the pilot seen my eyes and said they awfully red i told him i get high as you bitch i am the man httptcouloue2qx3p,__label__offensive
2912,wish they would teach tracee     all chihuahuas do that squinty eye shit i think it is hilarious,__label__offensive
2089,  bitches like u be proving my point u speak on shit u know nothing about i got a fucking at studio movie grill just stfu,__label__offensive
756,  you gonna be 33 years old with no bitches watchlol,__label__offensive
2932,march is about to get mad          ,__label__non_offensive
1161,  i honesty think the internet is just full of retards,__label__offensive
2777,i was told never fold amp never sell my sole,__label__non_offensive
681,lol life made her a hoe,__label__offensive
2258,i can fuck yo bitch and you cannot,__label__offensive
3403,    smoke good weed with a bad bitch,__label__offensive
4225,  ok i just wanted to know bitch at 520 if you are not here i am out,__label__offensive
3586,bitch you be lagging lol  ,__label__offensive
4036,  booty wop sided as hell,__label__offensive
2244,    on my mama yous a hoe omm yous a bitch omm if you get in a jam i bet you snitch omm  ,__label__offensive
4446,    im a knock the pussy out like fight night,__label__offensive
602,  he killed that hoe though,__label__offensive
1576,    52 of the worlds mammals birds reptiles amphibians amp fish vanished between 1970 amp 2010 httptcomimizth0oz httptco ,__label__non_offensive
1555,you are a boy you dont say clutch fag ass that is that bitch shit lingo tf,__label__offensive
4335,  you better of called that kid a pussy,__label__offensive
4252,i do not talk to niccas i talk to god we can relate,__label__offensive
1733,    lol haha  hahahahahahahahahaahah deez nuts bitch,__label__offensive
1964,obama mocked the special olympics wendy davis mocks the handicapped do ya see a pattern democrats    ,__label__non_offensive
4436,best rider that goes to a blaxican,__label__non_offensive
1736,  idk is she is actually from there lol we followed a band but we met a few bainbridgians this bitch had like 4 teeth i swear lol,__label__offensive
3080,  i am colored aint supposed to be no good influence,__label__offensive
1994,    i did not sell mypussy for 65it was 80 httptcoshph98kzoy,__label__offensive
4548,    told you     artprize is more than trash,__label__non_offensive
4325,    if a bitch says eeeeeee she a hoe,__label__offensive
95,once you hate someone everything they do is offensive look at this bitch eating those crackers like she own the damn place,__label__offensive
4198,    haha you playin nigga i fuck bitches make money and smoke that straight og kush,__label__offensive
555,i am organizing a cease fire between bald headed bitches and weave ,__label__offensive
309,yo bitch look like a boogawolf,__label__offensive
707,      he now resides on the mantle piece,__label__non_offensive
1791,    tacos over hoes,__label__offensive
1079,  mental asylum in dallas texas 1980s httptco03s8desezq  should i go find this hoe,__label__offensive
4283,when yo song come on and you hit the blunt hard af cause that hoe go dat hard,__label__offensive
1208,real shit i love eating pussy,__label__offensive
